epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.221,1.73486,3.80405,2.03694,0.14401,0.22278,0.13005,0.04162,2.11926,4.40761,2.66108,0.000276338,0.000276338,0.000276338
2,188.215,1.71747,3.28399,2.00124,0.29398,0.16655,0.16287,0.05962,2.1324,3.54868,2.63446,0.000543035,0.000543035,0.000543035
3,302.515,1.71004,3.07301,1.99853,0.18831,0.22609,0.17717,0.07317,2.10382,3.43033,2.63314,0.000798737,0.000798737,0.000798737
4,458.126,1.7159,2.90692,1.99942,0.25073,0.31201,0.22918,0.09287,2.00079,3.41764,2.57672,0.00078352,0.00078352,0.00078352
5,495.581,1.70766,2.80383,1.97526,0.2533,0.26245,0.25118,0.10144,2.07414,2.88746,2.50931,0.000767026,0.000767026,0.000767026
6,533.109,1.69757,2.69904,1.95902,0.34533,0.32348,0.2472,0.09872,2.0807,2.98785,2.65188,0.000750533,0.000750533,0.000750533
7,570.869,1.6507,2.58303,1.92231,0.2957,0.31477,0.28236,0.12113,2.00023,2.82261,2.52625,0.00073404,0.00073404,0.00073404
8,608.668,1.63601,2.53317,1.92877,0.3934,0.29181,0.29936,0.13137,1.95226,2.8362,2.43834,0.000717546,0.000717546,0.000717546
9,645.976,1.64899,2.47744,1.91106,0.404,0.35639,0.34934,0.13973,2.02221,2.61067,2.51471,0.000701053,0.000701053,0.000701053
10,677.823,1.59637,2.39837,1.8773,0.36066,0.39663,0.35319,0.15422,1.88943,2.57697,2.44026,0.000684559,0.000684559,0.000684559
11,710.269,1.58675,2.36202,1.86276,0.43904,0.41446,0.38906,0.16299,2.01358,2.42792,2.4604,0.000668066,0.000668066,0.000668066
12,741.848,1.56306,2.24661,1.85002,0.4672,0.42109,0.42933,0.18012,2.00122,2.29534,2.45722,0.000651573,0.000651573,0.000651573
13,773.216,1.53744,2.21428,1.83801,0.48086,0.41312,0.40937,0.17079,1.90462,2.34998,2.39342,0.000635079,0.000635079,0.000635079
14,804.595,1.51987,2.13592,1.80771,0.5532,0.44743,0.47465,0.21056,1.90442,2.25535,2.4229,0.000618586,0.000618586,0.000618586
15,837.83,1.50688,2.10586,1.80311,0.46148,0.51443,0.47001,0.2156,1.85203,2.153,2.30996,0.000602092,0.000602092,0.000602092
16,886.388,1.49322,2.03915,1.77198,0.54827,0.51764,0.50922,0.21446,1.9202,2.11134,2.3879,0.000585599,0.000585599,0.000585599
17,941.547,1.4688,1.9774,1.7622,0.50988,0.49249,0.47584,0.22426,1.8963,2.1474,2.38543,0.000569106,0.000569106,0.000569106
18,992.503,1.45236,1.94144,1.744,0.53259,0.49375,0.48082,0.21498,1.88369,2.08921,2.38696,0.000552612,0.000552612,0.000552612
19,1039.33,1.42496,1.87849,1.72781,0.5969,0.50678,0.52664,0.2332,1.89818,2.04045,2.41935,0.000536119,0.000536119,0.000536119
20,1087.39,1.42951,1.83971,1.73544,0.50922,0.528,0.49265,0.21723,1.90693,2.05417,2.42623,0.000519625,0.000519625,0.000519625
21,1138.26,1.39468,1.78713,1.70293,0.63966,0.5262,0.53698,0.2521,1.80352,1.96439,2.30368,0.000503132,0.000503132,0.000503132
22,1188.39,1.3903,1.7642,1.69258,0.52923,0.52664,0.49564,0.23931,1.85819,1.96038,2.36884,0.000486639,0.000486639,0.000486639
23,1237.22,1.38408,1.71271,1.68581,0.56346,0.54434,0.53151,0.26028,1.84605,1.95835,2.29899,0.000470145,0.000470145,0.000470145
24,1287.85,1.34247,1.65467,1.65102,0.62133,0.54398,0.56608,0.26151,1.81211,1.89486,2.2883,0.000453652,0.000453652,0.000453652
25,1339.35,1.34502,1.65249,1.65396,0.65272,0.58324,0.59843,0.29042,1.81071,1.78429,2.29437,0.000437158,0.000437158,0.000437158
26,1387.82,1.3087,1.57549,1.62421,0.73759,0.55079,0.62402,0.31925,1.78646,1.69704,2.31263,0.000420665,0.000420665,0.000420665
27,1432.49,1.31828,1.53879,1.62616,0.6155,0.58451,0.59088,0.29441,1.7991,1.7149,2.27538,0.000404172,0.000404172,0.000404172
28,1487.65,1.25806,1.50359,1.58569,0.59569,0.63015,0.60339,0.3004,1.73053,1.7261,2.2406,0.000387678,0.000387678,0.000387678
29,1532.88,1.26007,1.46871,1.57349,0.6452,0.59261,0.61254,0.31005,1.73399,1.70143,2.24767,0.000371185,0.000371185,0.000371185
30,1584.56,1.2341,1.43444,1.56104,0.68014,0.61163,0.64357,0.32435,1.72734,1.71485,2.25604,0.000354691,0.000354691,0.000354691
31,1636.92,1.21008,1.40417,1.53995,0.62947,0.64606,0.63514,0.32395,1.7565,1.66026,2.25928,0.000338198,0.000338198,0.000338198
32,1682.88,1.20558,1.37063,1.53072,0.70562,0.62872,0.64326,0.31178,1.78052,1.63439,2.26096,0.000321705,0.000321705,0.000321705
33,1735.13,1.19273,1.33077,1.52783,0.70836,0.63857,0.6618,0.34616,1.71099,1.54712,2.21389,0.000305211,0.000305211,0.000305211
34,1776.91,1.17842,1.32637,1.50461,0.74674,0.61489,0.6595,0.33653,1.69962,1.54528,2.22036,0.000288718,0.000288718,0.000288718
35,1812.89,1.13713,1.26834,1.47543,0.69812,0.65867,0.67046,0.35432,1.64809,1.53828,2.16942,0.000272224,0.000272224,0.000272224
36,1847.3,1.13779,1.24735,1.48345,0.69269,0.67892,0.68732,0.36032,1.68773,1.51814,2.1956,0.000255731,0.000255731,0.000255731
37,1882.01,1.11649,1.2297,1.4533,0.72558,0.66381,0.67219,0.36334,1.64881,1.49644,2.17303,0.000239238,0.000239238,0.000239238
38,1919.31,1.1082,1.20498,1.45151,0.65177,0.6753,0.68013,0.37229,1.64046,1.41911,2.16092,0.000222744,0.000222744,0.000222744
39,1956.73,1.0865,1.17166,1.44324,0.73714,0.65887,0.6913,0.37265,1.60523,1.45583,2.13281,0.000206251,0.000206251,0.000206251
40,1992.61,1.07462,1.16262,1.42998,0.68613,0.68866,0.70545,0.37762,1.61329,1.40955,2.14952,0.000189757,0.000189757,0.000189757
41,2061.93,1.01516,0.93171,1.51384,0.7746,0.65681,0.70587,0.39184,1.6199,1.41493,2.15031,0.000173264,0.000173264,0.000173264
42,2091.17,0.96014,0.82857,1.46584,0.77716,0.65562,0.7006,0.40321,1.5879,1.41668,2.13778,0.000156771,0.000156771,0.000156771
43,2121.6,0.92502,0.80397,1.43497,0.7872,0.65304,0.71742,0.41047,1.54699,1.36659,2.11352,0.000140277,0.000140277,0.000140277
44,2154.73,0.89367,0.76112,1.40557,0.7339,0.703,0.72261,0.41594,1.54925,1.34264,2.11038,0.000123784,0.000123784,0.000123784
45,2186.41,0.86408,0.739,1.383,0.80759,0.6641,0.73785,0.4264,1.53576,1.33131,2.11797,0.00010729,0.00010729,0.00010729
46,2217.29,0.84352,0.69784,1.35063,0.78143,0.71008,0.73426,0.43009,1.50272,1.28069,2.10054,9.0797e-05,9.0797e-05,9.0797e-05
47,2248.81,0.83395,0.68493,1.34303,0.79499,0.68545,0.73414,0.43553,1.48484,1.31109,2.07956,7.43036e-05,7.43036e-05,7.43036e-05
48,2280.2,0.80953,0.66367,1.32292,0.76565,0.72591,0.74607,0.4444,1.47707,1.27293,2.08455,5.78102e-05,5.78102e-05,5.78102e-05
49,2312.76,0.78687,0.65789,1.30675,0.83249,0.68826,0.74326,0.44968,1.47612,1.28865,2.07784,4.13168e-05,4.13168e-05,4.13168e-05
50,2344.01,0.77948,0.64684,1.30269,0.79722,0.69679,0.74636,0.45105,1.47091,1.25842,2.08978,2.48234e-05,2.48234e-05,2.48234e-05
